	0
PYAK	Yakutat_AK
PADQ	Kodiak_AK
PSIT	Sitka_AK
PACD	Cold_Bay_AK
PANT	Annette_Is_AK
PADK	Adak_AK
CYAZ	Torfino_BC
KFHR	Friday_Harbor_WA
KUIL	Quillayute_WA
KAST	Astoria_OR
KOTH	North_Bend_OR
KCEC	Crescent_City
KACV	Arcata_Airport
KRDD	Redding_Airport
KRBL	red_bluff_muni
KUKI	Ukiah_Muni
KSUU	Fairfield/Travis_AFB
KAPC	Napa_County
KOAK	Oakland_Intl
KSFO	San_Francisco_Intl
KLVK	Livermore_Muni
KNUQ	Mountain_View
KSJC	San_Jose
KMRY	Monterey_Penisula
KFAT	fresno_air_terminal
KSNS	Salinas_Muni
KLAS	Las_Vegas
KEDW	Edwards_AFB
KSMX	Santa_Maria_Airport
KVBG	Vandenberg_AFB
KSBA	Santa_Barbara
KVNY	Van_Nuys
KOXR	Oxnard
KBUR	Burbank
KNTD	Point_Mugu
KSMO	Santa_Monica_Muni
KLAX	Los_Angeles_Intl
KHHR	Hawthorne_Muni
KRIV	Riverside/March_AFB
KFUL	Fullerton_Muni
KPSP	Palm_Springs_Intl
KLGB	Long_Beach_Airport
KTOA	Zamperini_Field
KSNA	Orange_County_Airport
KAVX	Santa_Catalina_Isl.
KNFG	Camp_Pendleton_MCAS
KNSI	San_Nicolas_Island
KCRQ	Carlsbad_Airport
KNUC	San_Clemente_Island
KNKX	Miramar
KSEE	Gillespie_Field
KNJK	El_Centro
KMYF	Montgomery_Field
KSAN	San_Diego/Lindbergh
KNZY	North_Island_NAS
KYUM	Yuma_AZ
KCZZ	Campo
KNRS	Imperial_Beach_NOF
KSIT	Sitka_Rocky_Gutierrez_Airport
PAHO	Homer_Airport
